countyName,districtName,totalAssessedValue,totalSecuredAssessedValue
001 Anderson CAD,001-902/Cayuga ISD                         ,280031557,177830739
001 Anderson CAD,001-903/Elkhart ISD                        ,302731988,276685434
001 Anderson CAD,001-904/Frankston ISD                      ,178888804,154723683
001 Anderson CAD,001-906/Neches ISD                         ,124514433,119787665
001 Anderson CAD,001-907/Palestine ISD                      ,1013889533,808349013
001 Anderson CAD,001-908/Westwood ISD                       ,436256846,259326933
001 Anderson CAD,001-909/Slocum ISD                         ,123232267,114920827
001 Anderson CAD,107-901/Athens ISD                         ,4301700,4041981
001 Anderson CAD,107-910/La Poynor ISD                      ,42403331,39683695
002 Andrews CAD ,002-901/Andrews ISD                        ,6814543666,6325047466
003 Angelina CAD ,003-902/Hudson ISD                         ,444290852,404430282
003 Angelina CAD ,003-903/Lufkin ISD                         ,2257681219,1702530669
003 Angelina CAD ,003-904/Huntington ISD                     ,250260773,232852103
003 Angelina CAD ,003-905/Diboll ISD                         ,292674991,219339561
003 Angelina CAD ,003-906/Zavalla ISD                        ,100961196,93371346
003 Angelina CAD ,003-907/Central ISD                        ,262373805,241804445
003 Angelina CAD ,037-909/Wells ISD                          ,7219202,7082882
003 Angelina CAD ,229-901/Colmesneil ISD                     ,471081,453941
004 Aransas CAD ,004-901/Aransas County ISD                 ,2650810399,2575238820
004 Aransas CAD ,178-908/Port Aransas ISD                   ,172880,172880
004 Aransas CAD ,205-901/Aransas Pass ISD                   ,104875467,98797594
005 Archer CAD ,005-901/Archer City ISD                    ,455135186,427425787
005 Archer CAD ,005-902/Holliday ISD                       ,288673944,277519931
005 Archer CAD ,005-904/Windthorst ISD                     ,62544307,53924867
005 Archer CAD ,119-902/Jacksboro ISD                      ,770200,770200
005 Archer CAD ,243-903/Iowa Park CISD                     ,8259370,8245540
005 Archer CAD ,252-903/Olney ISD                          ,88426932,86573042
006 Armstrong CAD ,006-902/Claude ISD                         ,168240764,157909204
006 Armstrong CAD ,033-901/Groom ISD                          ,1224800,1224800
006 Armstrong CAD ,065-901/Clarendon ISD                      ,9306709,9256519
006 Armstrong CAD ,219-901/Happy ISD                          ,872152,872152
007 Atascosa CAD ,007-901/Charlotte ISD                      ,258055059,182918959
007 Atascosa CAD ,007-902/Jourdanton ISD                     ,801264989,613391719
007 Atascosa CAD ,007-904/Lytle ISD                          ,193471435,173555085
007 Atascosa CAD ,007-905/Pleasanton ISD                     ,2173116913,1437206176
007 Atascosa CAD ,007-906/Poteet ISD                         ,232094717,210157747
007 Atascosa CAD ,015-909/Somerset ISD                       ,110142188,103032098
007 Atascosa CAD ,128-901/Karnes City ISD                    ,179788566,161717836
008 Austin CAD ,008-901/Bellville ISD                      ,1098633041,997604988
008 Austin CAD ,008-902/Sealy ISD                          ,1141890042,875625188
008 Austin CAD ,008-903/Brazos ISD                         ,89654338,79574876
008 Austin CAD ,045-902/Columbus ISD                       ,32645036,30803607
008 Austin CAD ,239-901/Brenham ISD                        ,10439416,9815753
008 Austin CAD ,239-903/Burton ISD                         ,195470,151432
009 Bailey CAD ,009-901/Muleshoe ISD                       ,235726855,201946731
009 Bailey CAD ,140-908/Sudan ISD                          ,46096500,45631981
009 Bailey CAD ,185-902/Farwell ISD                        ,7273429,7069568
010 Bandera CAD ,010-901/Medina ISD                         ,211626311,206291721
010 Bandera CAD ,010-902/Bandera ISD                        ,1408113818,1357796405
010 Bandera CAD ,015-915/Northside ISD                      ,28239043,27864153
010 Bandera CAD ,232-904/Utopia ISD                         ,110855118,108276068
011 Bastrop CAD ,011-901/Bastrop ISD                        ,3073518133,2567129688
